Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Andy Pages,625,83,24,82,137,253,10,0.31,0.55,0.33,0.49,-0.74,0.64,0.16,-0.05,1.37
Caleb Durbin,625,69,10,60,72,202,21,0.309,0.46,0.14,0.36,-0.39,0.51,0.33,-0.05,1.36
Miguel Vargas,625,75,24,77,119,240,8,0.322,0.5,0.33,0.46,-0.64,0.6,0.12,-0.01,1.35
Marcus Semien,644,78,21,73,109,237,9,0.312,0.52,0.29,0.44,-0.59,0.6,0.14,-0.04,1.35
Jo Adell,625,80,33,88,170,263,11,0.3,0.53,0.45,0.52,-0.91,0.66,0.17,-0.07,1.35
Luis Robert Jr.,625,85,22,67,173,230,33,0.299,0.56,0.31,0.4,-0.93,0.58,0.51,-0.08,1.35
Jordan Westburg,625,83,25,79,144,260,8,0.316,0.55,0.34,0.47,-0.77,0.65,0.12,-0.03,1.34
Jacob Wilson,625,71,8,62,53,226,6,0.334,0.47,0.11,0.37,-0.28,0.57,0.09,0.02,1.34
Iván Herrera,625,79,21,75,127,236,8,0.345,0.52,0.28,0.45,-0.68,0.59,0.12,0.05,1.34
Brenton Doyle,625,83,22,75,165,251,23,0.31,0.55,0.3,0.45,-0.89,0.63,0.35,-0.05,1.34
Mickey Moniak,625,79,25,85,151,259,12,0.307,0.53,0.34,0.5,-0.81,0.65,0.18,-0.05,1.34
Luis Arraez,630,67,1,56,24,207,9,0.336,0.44,0.01,0.33,-0.13,0.52,0.14,0.03,1.34
Willy Adames,679,88,30,86,181,261,11,0.318,0.58,0.41,0.51,-0.97,0.66,0.17,-0.03,1.33
Hunter Goodman,625,78,31,97,161,274,3,0.308,0.52,0.42,0.58,-0.87,0.69,0.05,-0.05,1.33
Taylor Ward,658,86,29,86,162,258,5,0.331,0.57,0.39,0.51,-0.87,0.65,0.07,0.01,1.33
Kazuma Okamoto,625,79,29,86,136,246,2,0.32,0.52,0.4,0.51,-0.73,0.62,0.04,-0.02,1.33
Ozzie Albies,630,72,19,74,95,229,10,0.303,0.48,0.26,0.44,-0.51,0.58,0.15,-0.07,1.33
Steven Kwan,665,73,4,53,57,201,17,0.333,0.48,0.06,0.31,-0.3,0.51,0.26,0.02,1.33
Brendan Donovan,625,73,15,69,87,225,5,0.342,0.49,0.2,0.41,-0.47,0.56,0.08,0.04,1.32
Kerry Carpenter,625,79,28,86,147,261,5,0.312,0.52,0.39,0.51,-0.79,0.65,0.07,-0.04,1.32
Christian Yelich,630,80,19,76,153,229,18,0.343,0.53,0.26,0.45,-0.82,0.57,0.27,0.04,1.31
Wilyer Abreu,625,78,26,84,151,246,10,0.318,0.51,0.36,0.5,-0.81,0.62,0.16,-0.02,1.31
José Caballero,625,81,17,59,151,209,34,0.31,0.53,0.23,0.35,-0.81,0.53,0.52,-0.05,1.31
Lourdes Gurriel Jr.,625,74,19,78,114,238,9,0.317,0.49,0.26,0.46,-0.61,0.6,0.14,-0.03,1.31
Gleyber Torres,665,78,18,72,115,230,7,0.34,0.52,0.24,0.43,-0.62,0.58,0.11,0.04,1.3
Dansby Swanson,686,86,24,83,177,256,16,0.309,0.57,0.33,0.5,-0.95,0.64,0.25,-0.05,1.29
Roman Anthony,630,83,20,75,152,241,10,0.355,0.55,0.27,0.45,-0.82,0.61,0.15,0.08,1.29
James Wood,644,84,23,80,188,248,18,0.346,0.56,0.32,0.48,-1.01,0.62,0.27,0.05,1.29
Ceddanne Rafaela,625,77,18,69,137,239,23,0.29,0.51,0.25,0.41,-0.74,0.6,0.36,-0.1,1.29
Ha-Seong Kim,625,78,17,65,122,218,17,0.321,0.52,0.24,0.39,-0.65,0.55,0.27,-0.02,1.29
Andrew Vaughn,625,70,25,91,124,248,2,0.314,0.46,0.34,0.54,-0.66,0.62,0.02,-0.04,1.29
Jake McCarthy,625,78,14,63,122,222,20,0.322,0.52,0.19,0.38,-0.65,0.56,0.32,-0.01,1.29
Trent Grisham,625,81,29,78,153,233,7,0.331,0.54,0.39,0.46,-0.82,0.58,0.11,0.01,1.27
