"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","+/-","H/AB","R","HR","RBI","SO","SB","OBP","TB","GP"
"*03dei*","Lane Thomas","KC","CF","610","FA","30","","51.38","75","433.5","41%","0%","91/394","52","14","50","123","12",".300","155","106"
"*04q56*","Logan OHoppe","LAA","C","611","FA","26","","51.37","95","290.7","80%","-1%","101/429","48","20","50","143","2",".289","174","115"
"*0473m*","Zach McKinstry","DET","3B,SS,LF,RF","612","FA","30","","51.36","97","326.8","76%","-1%","96/397","52","8","37","95","16",".314","153","119"
"*04qnc*","Francisco Alvarez","NYM","C","613","FA","24","","51.26","94","302.1","87%","+1%","81/347","47","19","54","106","0",".316","154","101"
"*03whq*","Ty France","SD","1B","614","FA","31","","51.25","14","482.6","15%","-1%","114/450","51","11","49","92","1",".324","171","121"
"*05gbf*","Jordan Walker","STL","RF","617","FA","23","","51.03","91","359.2","76%","0%","103/467","47","14","48","132","11",".288","170","126"
"*05r9j*","Marcelo Mayer","BOS","3B","618","FA","23","","51.01","96","313.5","92%","0%","92/387","57","11","46","109","10",".309","158","102"
"*048tn*","Carlos Narvaez","BOS","C","620","FA","27","","50.94","86","382.2","57%","-1%","95/416","53","13","50","125","2",".326","158","124"
"*031b2*","Jonah Heim","ATL","C","625","FA","30","","50.67","23","477.3","21%","0%","93/401","42","11","53","77","2",".287","141","118"
"*03pix*","Tyler Stephenson","CIN","C","626","FA","29","","50.65","87","370.9","59%","-1%","90/369","53","14","57","121","0",".328","154","106"
"*02mxf*","Carson Kelly","CHC","C","628","FA","31","","50.41","86","377.9","56%","-1%","86/349","43","14","45","79","2",".324","142","100"
"*06cq8*","Christian Moore","LAA","2B","636","FA","23","","50.03","85","406.3","78%","0%","107/464","54","15","51","155","7",".320","171","141"
"*01cfr*","Carlos Santana","ARI","1B","637","FA","39","","49.91","11","477.1","16%","0%","82/363","43","12","48","68","5",".310","133","105"
"*03pjl*","Ryan Mountcastle","BAL","1B","645","FA","29","","49.62","41","462.7","41%","-1%","102/388","46","13","51","99","3",".311","165","105"
"*02yk4*","Tyler ONeill","BAL","RF","646","FA","30","","49.6","91","354.7","61%","-1%","75/342","46","19","41","108","7",".312","147","97"
"*05y30*","Justin Crawford","PHI","LF,CF","649","FA","22","","49.56","98","341.3","90%","+1%","99/388","48","6","30","100","20",".336","140","116"
"*041ai*","Gavin Lux","TB","2B,LF","651","FA","28","","49.51","83","437.6","56%","-1%","117/450","56","6","53","107","3",".342","172","138"
"*070bf*","Sung Mun Song","SD","2B,3B","652","FA","29","","49.5","59","437.4","64%","0%","86/371","39","9","40","69","12",".305","133","107"
"*05js5*","Coby Mayo","BAL","1B","653","FA","24","","49.46","74","429.6","78%","0%","90/403","46","16","48","121","5",".318","163","117"
"*04efc*","Tyler Freeman","COL","2B,RF","654","FA","26","","49.43","52","455.5","36%","-1%","88/333","44","5","30","54","15",".352","122","100"
"*05t9l*","Max Muncy","ATH","2B,3B","656","FA","23","","49.4","30","466.8","46%","+1%","104/431","44","14","51","125","6",".312","168","125"
"*059bx*","Brady House","WSH","3B","657","FA","22","","49.35","75","449.6","69%","0%","110/457","51","11","49","136","10",".286","166","124"
"*02i3l*","Miguel Andujar","SD","3B,LF","660","FA","30","","49.28","33","465.3","31%","+1%","105/377","40","9","49","58","1",".325","156","100"
"*05ajg*","Ha-seong Kim","ATL","SS","669","FA","30","","49.1","85","367.1","62%","0%","75/322","45","8","36","66","14",".329","112","96"
"*05jsg*","Owen Caissie","MIA","RF","670","FA","23","","49.01","88","385.3","85%","0%","98/428","51","15","48","150","6",".328","172","126"
"*04yuu*","Patrick Bailey","SF","C","679","FA","26","NYY Wed 8:05PM","48.7","74","441.8","37%","-1%","101/436","49","9","59","128","1",".292","151","126"
"*04mrn*","Bo Naylor","CLE","C","680","FA","26","","48.65","83","401.3","49%","-1%","75/363","47","14","46","99","2",".299","138","119"
"*06f0q*","Kristian Campbell","BOS","2B","683","FA","23","","48.39","89","393.2","88%","0%","101/390","51","9","43","109","7",".365","151","114"
