Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Harry Ford,625,74,18,71,140,214,10,0.327,0.49,0.24,0.42,-0.75,0.54,0.15,-0.0,1.09
José Tena,625,72,17,71,146,226,12,0.318,0.48,0.24,0.42,-0.78,0.57,0.19,-0.02,1.09
Tyrone Taylor,625,74,17,70,140,225,12,0.306,0.49,0.24,0.41,-0.75,0.56,0.19,-0.06,1.09
Christopher Morel,625,75,23,77,164,231,11,0.313,0.5,0.31,0.46,-0.88,0.58,0.16,-0.04,1.09
Carlos Santana,625,70,19,72,128,213,7,0.318,0.47,0.26,0.43,-0.69,0.53,0.11,-0.02,1.09
Parker Meadows,625,75,17,70,151,220,15,0.31,0.5,0.24,0.42,-0.81,0.55,0.23,-0.05,1.08
Brooks Lee,625,67,17,72,107,223,4,0.301,0.44,0.23,0.43,-0.58,0.56,0.07,-0.07,1.08
Miguel Amaya,625,72,19,75,135,225,6,0.316,0.48,0.26,0.45,-0.73,0.56,0.09,-0.03,1.08
Trevor Larnach,625,74,20,74,144,226,6,0.326,0.49,0.27,0.44,-0.77,0.57,0.09,-0.0,1.08
Kyle Karros,625,74,16,71,140,224,8,0.327,0.49,0.22,0.42,-0.75,0.56,0.13,-0.0,1.08
Taylor Walls,625,72,16,66,143,209,18,0.31,0.48,0.21,0.39,-0.77,0.52,0.28,-0.05,1.08
Connor Wong,625,73,19,71,144,228,9,0.317,0.49,0.25,0.42,-0.77,0.57,0.14,-0.03,1.08
Nick Castellanos,625,72,20,77,145,236,7,0.307,0.48,0.28,0.46,-0.78,0.59,0.11,-0.05,1.08
Victor Caratini,625,67,17,71,120,217,4,0.324,0.45,0.24,0.42,-0.64,0.54,0.07,-0.01,1.07
Marcelo Mayer,625,76,18,73,143,231,7,0.31,0.5,0.25,0.44,-0.77,0.58,0.11,-0.05,1.07
Austin Hays,625,75,21,73,152,239,8,0.307,0.5,0.28,0.44,-0.82,0.6,0.13,-0.06,1.07
Blake Perkins,625,74,17,70,150,216,13,0.318,0.49,0.24,0.42,-0.81,0.54,0.21,-0.02,1.07
Angel Martínez,625,72,18,70,136,223,9,0.31,0.48,0.24,0.42,-0.73,0.56,0.15,-0.05,1.07
Abimelec Ortiz,625,75,22,75,149,229,6,0.312,0.5,0.3,0.44,-0.8,0.57,0.1,-0.04,1.07
Matt McLain,625,78,19,68,173,218,18,0.318,0.52,0.26,0.41,-0.93,0.55,0.28,-0.03,1.06
Bo Naylor,625,74,22,75,148,222,6,0.31,0.49,0.31,0.45,-0.79,0.56,0.1,-0.05,1.06
J.T. Realmuto,625,71,19,73,149,236,9,0.314,0.47,0.26,0.44,-0.8,0.59,0.14,-0.04,1.06
Jonathan India,625,75,15,61,123,210,7,0.335,0.49,0.21,0.37,-0.66,0.53,0.11,0.02,1.06
Luis Torrens,625,70,18,73,139,228,7,0.315,0.47,0.25,0.44,-0.75,0.57,0.11,-0.03,1.06
Kyle Higashioka,625,70,22,76,146,232,7,0.302,0.47,0.29,0.45,-0.78,0.58,0.11,-0.07,1.06
