Name,Type,GS,G,IP,IP_wk,L_wk,SV_wk,HLD_wk,K_wk,QS_wk,ER_wk,WH_wk,ERA,WHIP,WAR
Jakob Junis,RP,,56.2,62.3,2.49,0.07,0.015,0.272,2.18,0,1.109,3.042,4.004,1.22,0.29
Coleman Crow,RP,,15.0,22.1,0.88,0.035,0.0,0.028,0.92,0,0.367,1.061,3.739,1.2,0.29
Robert Stephenson,RP,,56.9,59.0,2.36,0.089,0.37,0.296,2.56,0,1.045,2.824,3.988,1.197,0.29
Pierce Johnson,RP,,58.5,59.4,2.38,0.141,0.049,0.423,2.57,0,1.093,3.102,4.139,1.304,0.29
Taijuan Walker,SP,16.6,,111.3,6.9,0.417,0,0,5.39,0.365,3.606,9.493,4.702,1.375,0.28
Anthony Bender,RP,,62.7,63.0,2.52,0.113,0.058,0.611,2.36,0,1.091,3.283,3.897,1.302,0.28
Kai-Wei Teng,RP,,16.4,34.8,1.39,0.086,0.0,0.026,1.36,0,0.69,1.909,4.458,1.37,0.28
Clayton Beeter,RP,,59.6,63.6,2.54,0.12,0.595,0.469,2.86,0,1.103,3.385,3.901,1.331,0.27
JT Brubaker,RP,,41.5,49.1,1.96,0.08,0.0,0.107,1.7,0,0.922,2.558,4.225,1.302,0.27
Josh Sborz,RP,,43.2,44.5,1.78,0.068,0.002,0.232,1.83,0,0.809,2.269,4.092,1.275,0.27
Ian Hamilton,RP,,46.3,49.0,1.96,0.057,0.003,0.191,2.01,0,0.859,2.639,3.95,1.348,0.27
River Ryan,SP,5.5,,37.1,6.51,0.365,0,0,5.78,0.394,3.073,8.506,4.25,1.307,0.26
Joey Wentz,SP,6.1,,59.9,7.29,0.436,0,0,6.68,0.396,3.523,9.737,4.351,1.336,0.26
Victor Vodnik,RP,,59.0,63.2,2.53,0.133,0.627,0.23,2.43,0,1.242,3.739,4.422,1.479,0.26
Luis García,RP,,49.2,50.5,2.02,0.066,0.019,0.294,1.8,0,0.877,2.644,3.909,1.309,0.26
Ben Joyce,RP,,32.9,34.7,1.39,0.048,0.121,0.242,1.54,0,0.557,1.76,3.611,1.268,0.26
Yoendrys Gómez,SP,7.1,,72.5,7.61,0.381,0,0,6.99,0.379,3.657,9.96,4.327,1.309,0.25
Carson Whisenhunt,RP,,13.7,33.1,1.32,0.077,0.0,0.031,1.09,0,0.626,1.799,4.264,1.361,0.25
Tyler Alexander,RP,,54.3,77.5,3.1,0.149,0.001,0.186,2.53,0,1.583,4.026,4.597,1.299,0.25
Jordan Leasure,RP,,63.3,63.0,2.52,0.167,0.464,0.437,2.79,0,1.139,3.172,4.069,1.259,0.25
Jason Foley,RP,,26.3,26.7,1.07,0.039,0.02,0.087,0.89,0,0.44,1.354,3.703,1.267,0.24
David Robertson,RP,,31.7,32.8,1.31,0.044,0.028,0.3,1.49,0,0.534,1.638,3.661,1.248,0.24
Ryan Fernandez,RP,,55.8,58.9,2.36,0.108,0.011,0.297,2.35,0,1.097,3.225,4.193,1.369,0.24
Colin Selby,RP,,55.0,58.3,2.33,0.091,0.0,0.25,2.34,0,1.009,3.028,3.891,1.298,0.24
Javier Assad,RP,,41.8,63.2,2.53,0.119,0.0,0.125,2.11,0,1.136,3.342,4.042,1.321,0.24
Kyle Hart,SP,8.5,,65.5,6.93,0.403,0,0,6.08,0.407,3.337,9.135,4.335,1.319,0.23
Josiah Gray,SP,19.4,,110.0,6.27,0.43,0,0,5.47,0.369,3.478,8.664,4.993,1.382,0.23
Mason Montgomery,RP,,57.6,60.7,2.43,0.091,0.084,0.383,2.57,0,1.083,3.329,4.011,1.37,0.23
Jordan Romano,RP,,56.0,56.1,2.24,0.129,0.191,0.366,2.34,0,1.095,2.92,4.394,1.302,0.23
Brady Basso,RP,,50.2,55.3,2.21,0.083,0.043,0.269,1.99,0,0.951,2.868,3.865,1.296,0.23
Sam Moll,RP,,38.0,37.2,1.49,0.052,0.0,0.134,1.47,0,0.697,1.998,4.215,1.343,0.23
Jordan Hicks,RP,,48.5,56.6,2.27,0.116,0.016,0.181,2.04,0,1.076,3.206,4.276,1.415,0.23
Josh White,RP,,41.5,44.6,1.78,0.094,0.0,0.16,1.87,0,0.783,2.32,3.954,1.301,0.22
Brock Stewart,RP,,26.5,27.0,1.08,0.043,0.001,0.229,1.25,0,0.46,1.341,3.834,1.241,0.22
Huascar Brazobán,RP,,52.1,56.3,2.25,0.078,0.003,0.361,2.1,0,1.001,2.993,4.001,1.328,0.22
Scott Barlow,RP,,52.1,54.0,2.16,0.089,0.015,0.177,2.28,0,1.003,2.991,4.177,1.384,0.22
DL Hall,RP,,44.3,54.6,2.19,0.085,0.0,0.141,2.07,0,0.966,2.913,3.979,1.333,0.22
Spencer Bivens,RP,,59.3,68.0,2.72,0.097,0.078,0.233,2.06,0,1.239,3.616,4.102,1.33,0.21
Keegan Akin,RP,,62.6,65.5,2.62,0.114,0.089,0.467,2.66,0,1.157,3.361,3.974,1.282,0.21
Mitch Bratt,RP,,4.8,25.1,1.0,0.058,0.0,0.0,0.81,0,0.503,1.321,4.519,1.318,0.21
Félix Bautista,RP,,12.4,12.7,0.51,0.018,0.004,0.021,0.71,0,0.177,0.601,3.121,1.179,0.21
Nick Mears,RP,,58.2,59.7,2.39,0.12,0.003,0.453,2.32,0,1.116,3.116,4.203,1.304,0.21
Gordon Graceffo,RP,,50.7,60.6,2.43,0.1,0.004,0.217,1.97,0,1.152,3.209,4.275,1.323,0.21
Calvin Faucher,RP,,63.2,65.8,2.63,0.142,0.198,0.568,2.59,0,1.195,3.588,4.084,1.363,0.21
AJ Blubaugh,RP,,35.5,54.4,2.18,0.122,0.0,0.089,2.06,0,1.035,2.85,4.282,1.31,0.21
Andrew Chafin,RP,,39.5,39.3,1.57,0.054,0.017,0.108,1.67,0,0.67,2.143,3.842,1.365,0.21
Mason Englert,RP,,55.0,63.3,2.53,0.084,0.01,0.311,2.28,0,1.211,3.262,4.308,1.289,0.21
Gavin Stone,RP,,12.1,24.9,0.99,0.045,0.0,0.02,0.87,0,0.491,1.303,4.447,1.31,0.21
Evan Sisk,RP,,44.6,45.4,1.82,0.077,0.0,0.205,1.75,0,0.778,2.533,3.855,1.395,0.21
