Week,Team,ERA,H/AB,HLD,HR,IP,K,K.1,L,OBP,QS,R,RBI,SB,SV,TB,WHIP
9,The Bronx Boofers,1.91,50/207,6.0,10.0,42.1,47.0,38.0,1.0,0.318,3.0,28.0,24.0,4.0,2.0,89.0,0.92
9,The Murk Ma$ter,2.06,46/200,2.0,10.0,56.2,49.0,55.0,2.0,0.3,6.0,31.0,21.0,2.0,4.0,82.0,0.85
9,UNKle Jerik,3.99,45/182,2.0,9.0,56.1,53.0,61.0,3.0,0.317,2.0,24.0,25.0,4.0,2.0,82.0,1.14
9,vves11,5.31,57/187,0.0,5.0,57.2,41.0,59.0,6.0,0.382,3.0,23.0,28.0,10.0,2.0,81.0,1.53
9,wes11,2.92,51/206,5.0,9.0,52.1,50.0,46.0,3.0,0.336,4.0,37.0,29.0,3.0,4.0,94.0,1.07
10,Acuña Matata,2.55,56/220,1.0,15.0,53.0,63.0,37.0,2.0,0.329,4.0,32.0,30.0,2.0,3.0,109.0,0.98
10,Beasts of the East,4.6,70/246,1.0,6.0,88.0,56.0,84.0,6.0,0.359,4.0,36.0,27.0,8.0,3.0,110.0,1.45
10,Cleveland Steamers,3.96,55/208,2.0,12.0,50.0,63.0,46.0,3.0,0.309,5.0,22.0,29.0,5.0,2.0,100.0,1.2
10,Colson Anthony Teel Jr.,4.06,50/213,1.0,4.0,57.2,51.0,58.0,5.0,0.302,4.0,24.0,30.0,5.0,1.0,75.0,1.37
10,Derty's Rolling Crew,5.44,65/223,2.0,10.0,51.1,45.0,44.0,5.0,0.353,1.0,32.0,39.0,6.0,7.0,107.0,1.73
10,My Team Snells Like Shit,3.19,65/235,0.0,13.0,48.0,48.0,53.0,3.0,0.316,5.0,34.0,39.0,6.0,5.0,118.0,0.94
10,North Shore Beefs,2.28,45/190,1.0,9.0,51.1,50.0,54.0,2.0,0.321,4.0,20.0,27.0,3.0,0.0,82.0,1.11
10,Put Up or Shut Up,4.33,63/233,1.0,12.0,68.2,59.0,70.0,4.0,0.351,5.0,38.0,33.0,4.0,1.0,115.0,1.17
10,Shmoulie,5.08,47/210,1.0,7.0,62.0,64.0,65.0,5.0,0.314,5.0,23.0,29.0,6.0,5.0,76.0,1.35
10,Skrey's SQUAD,2.85,49/209,3.0,6.0,53.2,45.0,53.0,4.0,0.335,5.0,23.0,28.0,6.0,2.0,75.0,1.16
10,Tardy Plumbers,2.81,52/216,8.0,15.0,41.2,42.0,44.0,1.0,0.322,5.0,37.0,40.0,1.0,0.0,108.0,1.18
10,The Bronx Boofers,3.48,60/220,1.0,3.0,51.2,51.0,39.0,3.0,0.348,3.0,31.0,33.0,4.0,2.0,87.0,1.18
10,The Murk Ma$ter,4.2,48/201,4.0,8.0,49.1,48.0,50.0,3.0,0.319,2.0,29.0,25.0,5.0,5.0,81.0,1.18
10,UNKle Jerik,2.35,57/225,2.0,8.0,53.2,48.0,47.0,2.0,0.306,4.0,24.0,28.0,5.0,2.0,89.0,0.89
10,vves11,6.26,56/203,2.0,9.0,41.2,46.0,40.0,2.0,0.345,2.0,32.0,28.0,7.0,0.0,92.0,1.63
10,wes11,3.42,59/243,2.0,9.0,50.0,53.0,54.0,3.0,0.31,1.0,31.0,28.0,4.0,1.0,96.0,1.1
11,Acuña Matata,4.4,66/231,1.0,13.0,45.0,54.0,45.0,2.0,0.355,3.0,42.0,31.0,1.0,2.0,117.0,1.4
11,Beasts of the East,2.0,57/184,4.0,8.0,45.0,44.0,58.0,0.0,0.384,2.0,33.0,32.0,7.0,5.0,96.0,0.82
11,Cleveland Steamers,3.41,50/214,2.0,10.0,37.0,44.0,34.0,2.0,0.304,4.0,36.0,31.0,6.0,1.0,90.0,1.14
11,Colson Anthony Teel Jr.,3.91,57/208,3.0,10.0,48.1,53.0,46.0,2.0,0.346,2.0,33.0,30.0,4.0,0.0,96.0,1.45
11,Derty's Rolling Crew,3.44,43/199,2.0,5.0,52.1,52.0,52.0,4.0,0.299,3.0,21.0,19.0,5.0,1.0,70.0,1.07
11,My Team Snells Like Shit,2.45,46/208,0.0,4.0,58.2,45.0,42.0,3.0,0.309,6.0,27.0,17.0,0.0,3.0,68.0,1.14
11,North Shore Beefs,3.0,42/197,3.0,6.0,42.0,48.0,40.0,2.0,0.3,1.0,23.0,24.0,6.0,1.0,70.0,1.26
11,Put Up or Shut Up,4.09,67/238,5.0,8.0,70.1,64.0,66.0,7.0,0.348,4.0,33.0,40.0,3.0,5.0,105.0,1.31
11,Shmoulie,5.23,63/225,3.0,8.0,72.1,62.0,68.0,5.0,0.367,5.0,36.0,37.0,5.0,5.0,99.0,1.42
11,Skrey's SQUAD,6.07,55/205,2.0,9.0,56.1,39.0,44.0,7.0,0.36,3.0,28.0,24.0,4.0,1.0,94.0,1.6
11,Tardy Plumbers,1.91,59/212,2.0,10.0,42.1,49.0,50.0,0.0,0.373,3.0,28.0,33.0,2.0,1.0,100.0,1.11
11,The Bronx Boofers,5.48,67/230,5.0,14.0,42.2,40.0,40.0,3.0,0.35,2.0,35.0,41.0,5.0,1.0,122.0,1.57
11,The Murk Ma$ter,3.5,49/190,1.0,10.0,64.1,57.0,69.0,4.0,0.319,3.0,26.0,31.0,5.0,1.0,82.0,1.21
11,UNKle Jerik,2.42,56/206,3.0,6.0,52.0,44.0,56.0,2.0,0.366,2.0,32.0,36.0,3.0,1.0,95.0,1.1
11,vves11,3.38,59/219,0.0,6.0,56.0,50.0,61.0,4.0,0.321,3.0,26.0,18.0,6.0,0.0,92.0,1.34
11,wes11,5.35,56/226,1.0,8.0,35.1,42.0,34.0,4.0,0.31,1.0,28.0,30.0,5.0,3.0,92.0,1.33
